Generation, Best Car Fitness, Num Cherckppoints Passed, Model Path
1, 57.0, 1, best_models/generation_1\best_model.h5
2, 77.5, 1, best_models/generation_2\best_model.h5
3, 312.0, 0, best_models/generation_3\best_model.h5
4, 347.0, 0, best_models/generation_4\best_model.h5
5, 309.0, 0, best_models/generation_5\best_model.h5
6, 349.0, 0, best_models/generation_6\best_model.h5
7, 354.0, 0, best_models/generation_7\best_model.h5
8, 312.0, 0, best_models/generation_8\best_model.h5
9, 340.0, 0, best_models/generation_9\best_model.h5
10, 307.0, 0, best_models/generation_10\best_model.h5
11, 307.0, 0, best_models/generation_11\best_model.h5
12, 311.0, 0, best_models/generation_12\best_model.h5
13, 308.0, 0, best_models/generation_13\best_model.h5
14, 307.0, 0, best_models/generation_14\best_model.h5
15, 312.0, 0, best_models/generation_15\best_model.h5
16, 308.0, 0, best_models/generation_16\best_model.h5
17, 308.0, 0, best_models/generation_17\best_model.h5
18, 307.0, 0, best_models/generation_18\best_model.h5
19, 308.0, 0, best_models/generation_19\best_model.h5
20, 307.0, 0, best_models/generation_20\best_model.h5
